time_sec,host_write_MB,cache_write_MB,backend_write_MB,host_delta_MB,cache_delta_MB,backend_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks,l2p_write_MB,md_write_MB,l2p_delta_MB,md_delta_MB
80.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
82.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
84.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
86.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
88.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
90.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
92.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
94.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
96.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
98.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
102.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
104.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
106.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
108.00,0.00,0.00,0.00,0.00,0.00,0.00,5653372388.55,8630919428.12,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
110.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,9023.25,1244184.95,0,0,0,0,0.00,1792343.25,0.00,0.00
112.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
114.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
116.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
118.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
120.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
122.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
124.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
126.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
128.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
130.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
132.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
134.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
136.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
138.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
140.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
142.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
144.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
146.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
148.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
150.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
152.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
154.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
156.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
158.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
160.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
162.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
164.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
166.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
168.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
