time_sec,occupancy_blocks,free_blocks,clean_blocks,dirty_blocks,rd_hits,rd_misses,rd_total,wr_hits,wr_misses,wr_total,cache_rd_blocks,cache_wr_blocks,core_rd_blocks,core_wr_blocks,host_rd_blocks,host_wr_blocks,cache_wr_delta,core_wr_delta,host_wr_delta,cache_wr_MB,core_wr_MB,host_wr_MB,nvme_host_MB,nvme_media_MB,nvme_host_delta_MB,nvme_media_delta_MB
2.00,8,150454008,8,0,0,4,4,0,0,0,2,9,9,0,11,0,9,0,0,0.04,0.00,0.00,0.00,0.00,0.00,0.00
4.00,8,150454008,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,6224.86,6224.86,6224.86,6224.86
6.00,8,150454008,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,6224.86,6224.86,0.00,0.00
8.00,8,150454008,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,6224.86,6224.86,0.00,0.00
10.00,8,150454008,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,6224.86,6224.86,0.00,0.00
12.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,253,0,0,1.02,0.00,0.00,6224.86,6224.86,0.00,0.00
14.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.99,0.99
16.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
18.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
20.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
22.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
24.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
26.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
28.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
30.00,261,150453755,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,6225.85,6225.85,0.00,0.00
32.00,57241,150396775,129,57112,7,46,53,514,57116,57630,10,57892,262,0,272,57630,57630,0,57630,226.14,0.00,225.12,6225.85,6225.85,0.00,0.00
34.00,734448,149719568,129,734319,7,46,53,29613,736463,766076,10,766338,262,0,272,766076,708446,0,708446,2993.51,0.00,2992.48,6673.68,6673.68,447.84,447.84
36.00,1401674,149052342,129,1401545,7,46,53,162254,1405694,1567948,10,1568210,262,0,272,1567948,801872,0,801872,6125.82,0.00,6124.80,12086.36,12086.36,5412.67,5412.67
38.00,2018600,148435416,129,2018471,7,46,53,322915,2023906,2346821,10,2347084,262,0,272,2346821,778874,0,778873,9168.30,0.00,9167.27,17824.83,17824.83,5738.48,5738.48
40.00,2351921,148102095,129,2351792,7,46,53,650951,2357769,3008720,10,3008982,262,0,272,3008720,661898,0,661899,11753.84,0.00,11752.81,23277.75,23277.75,5452.92,5452.92
42.00,2719742,147734274,129,2719613,7,46,53,1033578,2726108,3759686,10,3759948,262,0,272,3759686,750966,0,750966,14687.30,0.00,14686.27,27165.35,27165.35,3887.59,3887.59
44.00,3002833,147451182,129,3002704,7,46,53,1472865,3009815,4482680,10,4482942,262,0,272,4482680,722994,0,722994,17511.49,0.00,17510.47,31535.34,31535.34,4369.99,4369.99
46.00,3471472,146982544,129,3471343,7,46,53,1846535,3479236,5325771,10,5326033,262,0,272,5325771,843091,0,843091,20804.82,0.00,20803.79,35465.20,35465.20,3929.87,3929.87
48.00,3838284,146615732,129,3838155,7,46,53,2245878,3846697,6092575,10,6092837,262,0,272,6092575,766804,0,766804,23800.14,0.00,23799.12,40589.17,40589.17,5123.96,5123.96
50.00,4162967,146291049,129,4162838,7,46,53,2676793,4172156,6848949,10,6849211,262,0,272,6848949,756374,0,756374,26754.73,0.00,26753.71,45017.30,45017.30,4428.14,4428.14
52.00,4557090,145896926,129,4556961,7,46,53,3002777,4567001,7569778,10,7570040,262,0,272,7569778,720829,0,720829,29570.47,0.00,29569.45,49240.64,49240.64,4223.34,4223.34
54.00,4897706,145556310,129,4897577,7,46,53,3554391,4908715,8463106,10,8463368,262,0,272,8463106,893328,0,893328,33060.03,0.00,33059.01,53595.90,53595.90,4355.26,4355.26
56.00,5218145,145235870,129,5218016,7,46,53,3976677,5229813,9206490,10,9206752,262,0,272,9206490,743384,0,743384,35963.88,0.00,35962.85,58416.01,58416.01,4820.11,4820.11
58.00,5748464,144705552,129,5748335,7,46,53,4204926,5760798,9965724,10,9965987,262,0,272,9965724,759235,0,759234,38929.64,0.00,38928.61,62571.22,62571.22,4155.21,4155.21
60.00,6045280,144408736,129,6045151,7,46,53,4533835,6058320,10592155,10,10592417,262,0,272,10592155,626430,0,626431,41376.63,0.00,41375.61,67608.88,67608.88,5037.66,5037.66
62.00,6396684,144057331,129,6396555,7,46,53,5015875,6410335,11426210,10,11426472,262,0,272,11426210,834055,0,834055,44634.66,0.00,44633.63,71215.30,71215.30,3606.42,3606.42
64.00,6739704,143714312,129,6739575,7,46,53,5442994,6753694,12196688,10,12196950,262,0,272,12196688,770478,0,770478,47644.34,0.00,47643.31,75845.63,75845.63,4630.33,4630.33
66.00,6996160,143457856,129,6996031,7,46,53,6014603,7010636,13025239,10,13025501,262,0,272,13025239,828551,0,828551,50880.86,0.00,50879.84,80195.62,80195.62,4349.99,4349.99
68.00,7379633,143074383,129,7379504,7,46,53,6471932,7394926,13866858,10,13867120,262,0,272,13866858,841619,0,841619,54168.44,0.00,54167.41,84433.46,84433.46,4237.85,4237.85
70.00,7903799,142550217,129,7903670,7,46,53,6814791,7920177,14734968,10,14735230,262,0,272,14734968,868110,0,868110,57559.49,0.00,57558.47,89219.43,89219.43,4785.97,4785.97
72.00,8379317,142074699,129,8379188,7,46,53,7184347,8396798,15581145,10,15581407,262,0,272,15581145,846177,0,846177,60864.87,0.00,60863.85,94657.54,94657.54,5438.11,5438.11
74.00,8914923,141539093,129,8914794,7,46,53,7483782,8933396,16417178,10,16417440,262,0,272,16417178,836033,0,836033,64130.62,0.00,64129.60,99820.66,99820.66,5163.12,5163.12
76.00,9457796,140996220,129,9457667,7,46,53,7879099,9478098,17357197,10,17357459,262,0,272,17357197,940019,0,940019,67802.57,0.00,67801.55,105178.51,105178.51,5357.86,5357.86
78.00,9861136,140592880,129,9861007,7,46,53,8428767,9882919,18311686,10,18311948,262,0,272,18311686,954489,0,954489,71531.05,0.00,71530.02,110971.08,110971.08,5792.57,5792.57
80.00,10279878,140174138,129,10279749,7,46,53,8890476,10303102,19193578,10,19193840,262,0,272,19193578,881892,0,881892,74975.94,0.00,74974.91,116275.02,116275.02,5303.94,5303.94
82.00,10754847,139699169,129,10754718,7,46,53,9325146,10779489,20104635,10,20104897,262,0,272,20104635,911057,0,911057,78534.75,0.00,78533.73,121355.62,121355.62,5080.60,5080.60
