time_sec,host_write_MB,cache_write_MB,backend_write_MB,gc_write_MB,host_write_delta_MB,cache_write_delta_MB,backend_write_delta_MB,gc_write_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,cache_read_MB,backend_read_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,195149270.17,202081103.47,0.00,0.00,0,0,0,0
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,0,0,0,0
20.00,657.18,657.18,0.00,0.00,657.18,657.18,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,163111,5126,0,0
22.00,3127.07,3127.07,0.00,0.00,2469.89,2469.89,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,765948,34582,0,0
24.00,5725.69,5725.69,0.00,0.00,2598.62,2598.62,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,1324675,141102,0,0
26.00,8102.46,8102.46,0.00,0.00,2376.77,2376.77,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,1786513,287716,0,0
28.00,10697.16,10697.16,0.00,0.00,2594.70,2594.70,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,2231638,506834,0,0
30.00,13277.85,13277.85,0.00,0.00,2580.69,2580.69,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,2568011,831118,0,0
32.00,15851.88,15851.88,0.00,0.00,2574.03,2574.03,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,2821066,1237014,0,0
34.00,17990.06,17990.06,0.00,0.00,2138.19,2138.19,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,3080513,1524943,0,0
36.00,20601.77,20601.77,0.00,0.00,2611.70,2611.70,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,3443377,1830675,0,0
38.00,23178.02,23178.02,0.00,0.00,2576.26,2576.26,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,3771941,2161633,0,0
40.00,25770.25,25770.25,0.00,0.00,2592.22,2592.22,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,4051796,2545387,0,0
42.00,28367.99,28367.99,0.00,0.00,2597.75,2597.75,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,4445361,2816845,0,0
44.00,30916.76,30916.76,0.00,0.00,2548.77,2548.77,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,4694327,3220364,0,0
46.00,33516.24,33516.24,0.00,0.00,2599.48,2599.48,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,4937219,3642938,0,0
48.00,36091.98,36091.98,0.00,0.00,2575.74,2575.74,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,5247936,3991611,0,0
50.00,38711.76,38711.76,0.00,0.00,2619.78,2619.78,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,5723787,4186423,0,0
52.00,40957.21,40957.21,0.00,0.00,2245.45,2245.45,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,5967347,4517699,0,0
54.00,42944.45,42944.45,0.00,0.00,1987.23,1987.23,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,6248655,4745123,0,0
56.00,45487.64,45487.64,0.00,0.00,2543.19,2543.19,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,6462274,5182561,0,0
58.00,48015.88,48015.88,0.00,0.00,2528.24,2528.24,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,6760154,5531910,0,0
60.00,50600.45,50600.45,0.00,0.00,2584.57,2584.57,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,6958774,5994941,0,0
62.00,53223.44,53223.44,0.00,0.00,2622.99,2622.99,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,7199305,6425895,0,0
64.00,55836.58,55836.58,0.00,0.00,2613.14,2613.14,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,7693789,6600375,0,0
66.00,58419.21,58419.21,0.00,0.00,2582.64,2582.64,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,8037223,6918096,0,0
68.00,61010.62,61010.62,0.00,0.00,2591.41,2591.41,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,8410487,7208233,0,0
70.00,63568.76,63568.76,0.00,0.00,2558.14,2558.14,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,8836666,7436937,0,0
72.00,66152.01,66152.01,0.00,0.00,2583.25,2583.25,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,9201179,7733736,0,0
74.00,68740.91,68740.91,0.00,0.00,2588.90,2588.90,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,9567187,8030487,0,0
76.00,71355.78,71355.78,0.00,0.00,2614.86,2614.86,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,9822474,8444605,0,0
78.00,73980.54,73980.54,0.00,0.00,2624.76,2624.76,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,10116294,8822724,0,0
80.00,76685.12,76685.12,0.00,0.00,2704.59,2704.59,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,10497112,9134280,0,0
82.00,79365.05,79365.05,0.00,0.00,2679.93,2679.93,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,10899726,9417728,0,0
84.00,82092.96,82092.96,0.00,0.00,2727.91,2727.91,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,11228428,9787370,0,0
86.00,84836.54,84836.54,0.00,0.00,2743.57,2743.57,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,11646126,10072027,0,0
88.00,87620.23,87620.23,0.00,0.00,2783.70,2783.70,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,12046397,10384382,0,0
90.01,88298.74,88298.74,0.00,0.00,678.51,678.51,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,12117714,10486763,0,0
92.01,91148.74,91148.74,0.00,0.00,2850.00,2850.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,12413001,10921077,0,0
94.01,93938.16,93938.16,0.00,0.00,2789.41,2789.41,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,12660984,11387184,0,0
96.01,96776.15,96776.15,0.00,0.00,2838.00,2838.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,13031712,11742983,0,0
98.01,99588.16,99588.16,0.00,0.00,2812.01,2812.01,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,13380664,12113906,0,0
100.01,102434.22,102434.22,0.00,0.00,2846.06,2846.06,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,13802739,12420422,0,0
102.01,105276.72,105276.72,0.00,0.00,2842.50,2842.50,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,14075536,12875304,0,0
104.01,108102.03,108102.03,0.00,0.00,2825.31,2825.31,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,14445507,13228613,0,0
106.01,110981.50,110981.50,0.00,0.00,2879.47,2879.47,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,14725226,13686038,0,0
108.01,113834.95,113834.95,0.00,0.00,2853.45,2853.45,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,14979541,14162206,0,0
110.01,116681.09,116681.09,0.00,0.00,2846.14,2846.14,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,15435944,14434414,0,0
112.01,119506.00,119506.00,0.00,0.00,2824.91,2824.91,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,15964216,14629320,0,0
114.01,122327.84,122327.84,0.00,0.00,2821.84,2821.84,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,16449252,14866674,0,0
116.01,125165.13,125165.13,0.00,0.00,2837.30,2837.30,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,16859909,15182365,0,0
118.01,127966.58,127966.58,0.00,0.00,2801.45,2801.45,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,17213164,15546281,0,0
120.01,130799.61,130799.61,0.00,0.00,2833.03,2833.03,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,17635857,15848844,0,0
122.01,133601.11,133601.11,0.00,0.00,2801.50,2801.50,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,18243579,15958305,0,0
124.01,136350.88,136350.88,0.00,0.00,2749.77,2749.77,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,18619729,16286097,0,0
126.01,139072.71,139072.71,0.00,0.00,2721.83,2721.83,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,18919866,16682749,0,0
128.01,141808.01,141808.01,0.00,0.00,2735.30,2735.30,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,19126193,17176658,0,0
130.01,144528.32,144528.32,0.00,0.00,2720.31,2720.31,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,19455182,17544069,0,0
132.01,147292.11,147292.11,0.00,0.00,2763.79,2763.79,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,19886612,17820168,0,0
134.01,150057.30,150057.30,0.00,0.00,2765.19,2765.19,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,20268646,18146022,0,0
136.01,152843.07,152843.07,0.00,0.00,2785.78,2785.78,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,20605597,18522230,0,0
138.01,155630.72,155630.72,0.00,0.00,2787.64,2787.64,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,21051888,18789576,0,0
140.01,158266.10,158266.10,0.00,0.00,2635.38,2635.38,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,21464820,19051301,0,0
142.01,160904.25,160904.25,0.00,0.00,2638.16,2638.16,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,21856780,19334709,0,0
144.01,163564.68,163564.68,0.00,0.00,2660.42,2660.42,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,22201936,19670621,0,0
146.01,166295.26,166295.26,0.00,0.00,2730.58,2730.58,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,22575315,19996271,0,0
148.01,168994.82,168994.82,0.00,0.00,2699.56,2699.56,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,22905391,20357282,0,0
150.01,171813.94,171813.94,0.00,0.00,2819.12,2819.12,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,23368067,20616301,0,0
152.01,174622.79,174622.79,0.00,0.00,2808.86,2808.86,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,23715411,20988024,0,0
154.01,177403.33,177403.33,0.00,0.00,2780.54,2780.54,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,23989181,21426072,0,0
156.01,180175.52,180175.52,0.00,0.00,2772.19,2772.19,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,24237614,21887320,0,0
158.01,183040.50,183040.50,0.00,0.00,2864.97,2864.97,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,24426996,22431371,0,0
160.01,184865.71,184865.71,0.00,0.00,1825.21,1825.21,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,24607243,22718378,0,0
162.40,184865.81,184865.81,0.00,0.00,0.10,0.10,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,24607269,22718378,0,0
164.40,187736.52,187736.52,0.00,0.00,2870.71,2870.71,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,24945761,23114787,0,0
166.40,190523.62,190523.62,0.00,0.00,2787.10,2787.10,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,25438430,23335616,0,0
168.40,193323.59,193323.59,0.00,0.00,2799.97,2799.97,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,25898108,23592731,0,0
170.40,196117.06,196117.06,0.00,0.00,2793.47,2793.47,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,26315972,23889996,0,0
172.40,198950.16,198950.16,0.00,0.00,2833.10,2833.10,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,26634238,24297003,0,0
174.40,201752.73,201752.73,0.00,0.00,2802.57,2802.57,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,27052147,24596552,0,0
176.40,204504.70,204504.70,0.00,0.00,2751.96,2751.96,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,27254383,25098819,0,0
178.40,207311.99,207311.99,0.00,0.00,2807.30,2807.30,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,27557411,25514459,0,0
180.40,210157.91,210157.91,0.00,0.00,2845.92,2845.92,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,27922802,25877624,0,0
182.40,213033.65,213033.65,0.00,0.00,2875.74,2875.74,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,28223651,26312964,0,0
184.40,215898.48,215898.48,0.00,0.00,2864.82,2864.82,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,28610015,26659995,0,0
186.40,218667.31,218667.31,0.00,0.00,2768.83,2768.83,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,29154646,26824185,0,0
188.40,221415.36,221415.36,0.00,0.00,2748.05,2748.05,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,29398309,27284022,0,0
190.40,224181.57,224181.57,0.00,0.00,2766.22,2766.22,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,29601277,27789206,0,0
192.40,226981.68,226981.68,0.00,0.00,2800.10,2800.10,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,29816403,28290906,0,0
194.40,229788.30,229788.30,0.00,0.00,2806.62,2806.62,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,30236771,28589034,0,0
196.40,232619.57,232619.57,0.00,0.00,2831.27,2831.27,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,30511806,29038804,0,0
198.40,235442.33,235442.33,0.00,0.00,2822.76,2822.76,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,30863533,29409704,0,0
200.40,238261.91,238261.91,0.00,0.00,2819.57,2819.57,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,31100506,29894542,0,0
202.40,241079.91,241079.91,0.00,0.00,2818.00,2818.00,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,31369051,30347406,0,0
204.40,243876.45,243876.45,0.00,0.00,2796.54,2796.54,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,31705328,30727042,0,0
206.40,246663.41,246663.41,0.00,0.00,2786.96,2786.96,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,31938294,31207538,0,0
208.40,249457.55,249457.55,0.00,0.00,2794.14,2794.14,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,32328882,31532250,0,0
210.40,252256.79,252256.79,0.00,0.00,2799.24,2799.24,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,32656072,31921666,0,0
212.40,255068.95,255068.95,0.00,0.00,2812.16,2812.16,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,32855267,32442385,0,0
214.40,257880.59,257880.59,0.00,0.00,2811.64,2811.64,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,33203120,32814311,0,0
216.40,260699.08,260699.08,0.00,0.00,2818.49,2818.49,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,33389231,33349733,0,0
218.40,263537.55,263537.55,0.00,0.00,2838.47,2838.47,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,33636675,33828937,0,0
220.40,266363.23,266363.23,0.00,0.00,2825.68,2825.68,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,33848453,34340533,0,0
222.40,269203.99,269203.99,0.00,0.00,2840.76,2840.76,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,34074616,34841605,0,0
224.40,272030.28,272030.28,0.00,0.00,2826.29,2826.29,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,34335159,35304592,0,0
226.40,274868.37,274868.37,0.00,0.00,2838.09,2838.09,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,34789552,35576751,0,0
228.40,277734.64,277734.64,0.00,0.00,2866.27,2866.27,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35019199,36080869,0,0
230.40,280605.74,280605.74,0.00,0.00,2871.10,2871.10,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35210823,36624246,0,0
232.40,283467.29,283467.29,0.00,0.00,2861.55,2861.55,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35288481,37279146,0,0
234.40,286337.12,286337.12,0.00,0.00,2869.83,2869.83,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35429876,37872428,0,0
236.40,289127.36,289127.36,0.00,0.00,2790.23,2790.23,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35557407,38459197,0,0
238.40,291909.44,291909.44,0.00,0.00,2782.08,2782.08,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35670450,39058366,0,0
240.40,294647.01,294647.01,0.00,0.00,2737.57,2737.57,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,35940210,39489424,0,0
242.40,297378.94,297378.94,0.00,0.00,2731.93,2731.93,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,36177423,39951585,0,0
244.40,300121.53,300121.53,0.00,0.00,2742.59,2742.59,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,36408993,40422119,0,0
246.40,302854.12,302854.12,0.00,0.00,2732.59,2732.59,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,36731665,40798989,0,0
248.40,305559.82,305559.82,0.00,0.00,2705.70,2705.70,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,37011686,41211628,0,0
250.40,308284.63,308284.63,0.00,0.00,2724.81,2724.81,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,37168428,41752437,0,0
252.40,311086.88,311086.88,0.00,0.00,2802.25,2802.25,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,37334203,42304039,0,0
254.40,313930.70,313930.70,0.00,0.00,2843.82,2843.82,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,37539416,42826843,0,0
256.40,316750.04,316750.04,0.00,0.00,2819.34,2819.34,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,37847115,43240894,0,0
258.40,319579.93,319579.93,0.00,0.00,2829.90,2829.90,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,37945321,43867142,0,0
260.40,322399.11,322399.11,0.00,0.00,2819.18,2819.18,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,38141802,44392370,0,0
262.40,325222.22,325222.22,0.00,0.00,2823.11,2823.11,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,38241516,45015373,0,0
264.40,328058.46,328058.46,0.00,0.00,2836.24,2836.24,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,38355473,45627493,0,0
266.40,330895.89,330895.89,0.00,0.00,2837.43,2837.43,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,38632270,46077077,0,0
268.40,333725.55,333725.55,0.00,0.00,2829.67,2829.67,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,38754789,46678953,0,0
270.40,336540.18,336540.18,0.00,0.00,2814.63,2814.63,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,39031871,47122416,0,0
272.40,339384.69,339384.69,0.00,0.00,2844.50,2844.50,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,39338741,47543739,0,0
274.40,342225.90,342225.90,0.00,0.00,2841.21,2841.21,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,39492993,48116838,0,0
276.40,345055.61,345055.61,0.00,0.00,2829.70,2829.70,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,39630138,48704097,0,0
278.40,347895.24,347895.24,0.00,0.00,2839.63,2839.63,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,39763149,49298032,0,0
280.40,350732.90,350732.90,0.00,0.00,2837.66,2837.66,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,39907879,49879744,0,0
282.40,353583.92,353583.92,0.00,0.00,2851.02,2851.02,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,40014298,50503185,0,0
284.40,356385.34,356385.34,0.00,0.00,2801.42,2801.42,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,40172869,51061777,0,0
286.40,359174.92,359174.92,0.00,0.00,2789.59,2789.59,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,40302322,51646458,0,0
288.40,361976.57,361976.57,0.00,0.00,2801.64,2801.64,0.00,0.00,195149270.17,202081103.47,0.00,0.00,0.00,0.00,40461920,52204081,0,0
290.40,364771.74,364771.74,0.00,0.00,2795.18,2795.18,0.00,0.00,195511048.99,202448620.33,361778.82,367516.86,0.00,0.00,40604152,52777414,0,0
292.40,367573.62,367573.62,0.00,0.00,2801.88,2801.88,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,41011843,53087004,0,0
294.40,370382.56,370382.56,0.00,0.00,2808.94,2808.94,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,41349649,53468287,0,0
296.40,373191.70,373191.70,0.00,0.00,2809.14,2809.14,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,41751652,53785423,0,0
298.40,375998.77,375998.77,0.00,0.00,2807.07,2807.07,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,41800856,54454828,0,0
300.40,378789.50,378789.50,0.00,0.00,2790.73,2790.73,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,42008122,54961989,0,0
302.40,381559.27,381559.27,0.00,0.00,2769.77,2769.77,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,42498266,55180906,0,0
304.40,384339.80,384339.80,0.00,0.00,2780.54,2780.54,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,43109402,55281588,0,0
306.40,387120.62,387120.62,0.00,0.00,2780.82,2780.82,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,43579198,55523682,0,0
308.40,389934.65,389934.65,0.00,0.00,2814.03,2814.03,0.00,0.00,195511048.99,202448620.33,0.00,0.00,0.00,0.00,43665906,56157365,0,0
