time_sec,occupancy_blocks,free_blocks,clean_blocks,dirty_blocks,rd_hits,rd_misses,rd_total,wr_hits,wr_misses,wr_total,cache_rd_blocks,cache_wr_blocks,core_rd_blocks,core_wr_blocks,host_rd_blocks,host_wr_blocks,cache_wr_delta,core_wr_delta,host_wr_delta,cache_wr_MB,core_wr_MB,host_wr_MB,nvme_host_MB,nvme_media_MB,nvme_host_delta_MB,nvme_media_delta_MB
78.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
80.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
82.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
84.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
86.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
88.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
90.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
92.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
94.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
96.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
98.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
100.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
102.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
104.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
106.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
108.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
110.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
112.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
114.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
116.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
118.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
120.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
122.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
124.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
126.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
128.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
130.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
132.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
134.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
136.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
138.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
140.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
142.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
144.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
146.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
148.00,0,454294774,0,0,0,51,51,0,0,0,0,0,276,0,276,0,0,0,0,0.00,0.00,0.00,5324519301.30,8229368025.85,0.00,0.00
