timestamp,type,class,valid_blocks,total_blocks,valid_ratio
440401925,gc_victim_age_dist,0,966440,1572864,0.614446
441497513,gc_victim_age_dist,0,195888,1572864,0.124542
441974788,gc_victim_age_dist,0,140105,1572864,0.089076
443547664,gc_victim_age_dist,0,179385,1572864,0.114050
445120516,gc_victim_age_dist,0,58538,1572864,0.037217
446693386,gc_victim_age_dist,0,37280,1572864,0.023702
446724410,gc_victim_age_dist,0,207096,1572864,0.131668
448266250,gc_victim_age_dist,0,375515,1572864,0.238746
449839107,gc_victim_age_dist,0,362496,1572864,0.230469
451411970,gc_victim_age_dist,0,356928,1572864,0.226929
452984833,gc_victim_age_dist,0,365820,1572864,0.232582
453314150,gc_victim_age_dist,0,223178,1572864,0.141893
454557698,gc_victim_age_dist,0,232845,1572864,0.148039
456130569,gc_victim_age_dist,0,367762,1572864,0.233817
457703429,gc_victim_age_dist,0,43148,1572864,0.027433
459276296,gc_victim_age_dist,0,202168,1572864,0.128535
459443973,gc_victim_age_dist,0,300247,1572864,0.190892
461477560,gc_victim_age_dist,0,260712,1572864,0.165756
461719205,gc_victim_age_dist,0,367392,1572864,0.233582
463640238,gc_victim_age_dist,0,436893,1572864,0.277769
464250280,gc_victim_age_dist,0,382378,1572864,0.243109
465956404,gc_victim_age_dist,0,399206,1572864,0.253808
466320619,gc_victim_age_dist,0,286804,1572864,0.182345
468130277,gc_victim_age_dist,0,304400,1572864,0.193532
470052550,gc_victim_age_dist,0,196154,1572864,0.124711
471044692,gc_victim_age_dist,0,340904,1572864,0.216741
471997156,gc_victim_age_dist,0,147288,1572864,0.093643
473573972,gc_victim_age_dist,0,328422,1572864,0.208805
473874462,gc_victim_age_dist,0,536878,1572864,0.341338
475216581,gc_victim_age_dist,0,536480,1572864,0.341085
476831950,gc_victim_age_dist,0,407326,1572864,0.258971
477213672,gc_victim_age_dist,0,155560,1572864,0.098902
478510505,gc_victim_age_dist,0,362626,1572864,0.230551
480092593,gc_victim_age_dist,0,255152,1572864,0.162221
481675926,gc_victim_age_dist,0,330146,1572864,0.209901
483249085,gc_victim_age_dist,0,319068,1572864,0.202858
484990658,gc_victim_age_dist,0,261044,1572864,0.165967
485240301,gc_victim_age_dist,0,316708,1572864,0.201358
486580156,gc_victim_age_dist,0,474444,1572864,0.301643
488154548,gc_victim_age_dist,0,446666,1572864,0.283983
489742970,gc_victim_age_dist,0,507340,1572864,0.322558
490435439,gc_victim_age_dist,0,519284,1572864,0.330152
491406005,gc_victim_age_dist,0,506602,1572864,0.322089
493011432,gc_victim_age_dist,0,247144,1572864,0.157130
493229098,gc_victim_age_dist,0,304996,1572864,0.193911
494589036,gc_victim_age_dist,0,416044,1572864,0.264514
496166493,gc_victim_age_dist,0,549992,1572864,0.349675
498003928,gc_victim_age_dist,0,168204,1572864,0.106941
499903217,gc_victim_age_dist,0,267396,1572864,0.170006
500153644,gc_victim_age_dist,0,617616,1572864,0.392670
501469155,gc_victim_age_dist,0,404716,1572864,0.257312
501972152,gc_victim_age_dist,0,383915,1572864,0.244087
502331312,gc_victim_age_dist,0,645742,1572864,0.410552
503637107,gc_victim_age_dist,0,230302,1572864,0.146422
505567789,gc_victim_age_dist,0,248856,1572864,0.158218
507551110,gc_victim_age_dist,0,660794,1572864,0.420122
508637104,gc_victim_age_dist,0,670564,1572864,0.426333
509640354,gc_victim_age_dist,0,653524,1572864,0.415499
510642397,gc_victim_age_dist,0,649381,1572864,0.412865
511568107,gc_victim_age_dist,0,193220,1572864,0.122846
511723891,gc_victim_age_dist,0,260944,1572864,0.165904
512805739,gc_victim_age_dist,0,728372,1572864,0.463086
513848913,gc_victim_age_dist,0,317001,1572864,0.201544
514798073,gc_victim_age_dist,0,513134,1572864,0.326242
516414414,gc_victim_age_dist,0,569664,1572864,0.362183
517128552,gc_victim_age_dist,0,548142,1572864,0.348499
518138880,gc_victim_age_dist,0,708479,1572864,0.450439
520200803,gc_victim_age_dist,0,272402,1572864,0.173189
520431159,gc_victim_age_dist,0,721490,1572864,0.458711
521826552,gc_victim_age_dist,0,651274,1572864,0.414069
523618741,gc_victim_age_dist,0,490192,1572864,0.311656
524326899,gc_victim_age_dist,0,723620,1572864,0.460065
525446246,gc_victim_age_dist,0,680058,1572864,0.432369
526436857,gc_victim_age_dist,0,705228,1572864,0.448372
527477986,gc_victim_age_dist,0,643510,1572864,0.409133
528412581,gc_victim_age_dist,0,614328,1572864,0.390579
529220105,gc_victim_age_dist,0,729602,1572864,0.463868
530343040,gc_victim_age_dist,0,709952,1572864,0.451375
531382871,gc_victim_age_dist,0,732246,1572864,0.465549
532495273,gc_victim_age_dist,0,260168,1572864,0.165410
532697277,gc_victim_age_dist,0,326692,1572864,0.207705
532924247,gc_victim_age_dist,0,592552,1572864,0.376734
533966520,gc_victim_age_dist,0,773074,1572864,0.491507
535928518,gc_victim_age_dist,0,772210,1572864,0.490958
536972793,gc_victim_age_dist,0,793225,1572864,0.504319
538216149,gc_victim_age_dist,0,36192,1572864,0.023010
538243843,gc_victim_age_dist,0,496165,1572864,0.315453
539024425,gc_victim_age_dist,0,806108,1572864,0.512510
540218344,gc_victim_age_dist,0,606736,1572864,0.385752
541008944,gc_victim_age_dist,0,398195,1572864,0.253166
541871831,gc_victim_age_dist,0,783290,1572864,0.498002
543548276,gc_victim_age_dist,0,772388,1572864,0.491071
544571037,gc_victim_age_dist,0,587072,1572864,0.373250
545772238,gc_victim_age_dist,0,798970,1572864,0.507971
546791205,gc_victim_age_dist,0,601531,1572864,0.382443
547614087,gc_victim_age_dist,0,627372,1572864,0.398872
548450507,gc_victim_age_dist,0,478464,1572864,0.304199
549236429,gc_victim_age_dist,0,550844,1572864,0.350217
550096841,gc_victim_age_dist,0,840800,1572864,0.534566
551254202,gc_victim_age_dist,0,744244,1572864,0.473178
552307571,gc_victim_age_dist,0,861703,1572864,0.547856
553545967,gc_victim_age_dist,0,814362,1572864,0.517757
554805927,gc_victim_age_dist,0,847502,1572864,0.538827
556041923,gc_victim_age_dist,0,717568,1572864,0.456217
557080126,gc_victim_age_dist,0,752738,1572864,0.478578
558194639,gc_victim_age_dist,0,688438,1572864,0.437697
559182419,gc_victim_age_dist,1,54404,1572864,0.034589
559229774,gc_victim_age_dist,0,764302,1572864,0.485930
