timestamp,type,class,valid_blocks,total_blocks,valid_ratio
440401935,evict_victim_age_dist,0,966424,1572864,0.614436
441974788,evict_victim_age_dist,0,1245928,1572864,0.792140
443547655,evict_victim_age_dist,0,1008312,1572864,0.641068
445120521,evict_victim_age_dist,0,906346,1572864,0.576239
446693382,evict_victim_age_dist,0,1094462,1572864,0.695840
448266241,evict_victim_age_dist,0,965708,1572864,0.613981
449839109,evict_victim_age_dist,0,815620,1572864,0.518557
451411975,evict_victim_age_dist,0,747342,1572864,0.475147
452984839,gc_victim_age_dist,0,715114,1572864,0.454657
453912853,gc_victim_age_dist,0,363024,1572864,0.230804
454216002,gc_victim_age_dist,0,347884,1572864,0.221179
454557704,gc_victim_age_dist,0,351576,1572864,0.223526
454836443,gc_victim_age_dist,0,249496,1572864,0.158625
456130566,gc_victim_age_dist,0,508694,1572864,0.323419
457703428,gc_victim_age_dist,0,42368,1572864,0.026937
459276296,gc_victim_age_dist,0,178994,1572864,0.113801
460849168,gc_victim_age_dist,0,202146,1572864,0.128521
462422032,gc_victim_age_dist,0,232810,1572864,0.148017
463994882,gc_victim_age_dist,0,260760,1572864,0.165787
465567750,gc_victim_age_dist,0,329366,1572864,0.209405
465837235,gc_victim_age_dist,0,414038,1572864,0.263238
467140615,gc_victim_age_dist,0,407398,1572864,0.259017
468713473,gc_victim_age_dist,0,382976,1572864,0.243490
469055105,gc_victim_age_dist,0,138993,1572864,0.088369
470286349,gc_victim_age_dist,0,206992,1572864,0.131602
471859212,gc_victim_age_dist,0,222474,1572864,0.141445
473432079,gc_victim_age_dist,0,196139,1572864,0.124702
475004932,gc_victim_age_dist,0,328420,1572864,0.208804
476577800,gc_victim_age_dist,0,327536,1572864,0.208242
478150672,gc_victim_age_dist,0,85614,1572864,0.054432
479723533,gc_victim_age_dist,0,263344,1572864,0.167430
481296393,gc_victim_age_dist,0,416074,1572864,0.264533
481664945,gc_victim_age_dist,0,272218,1572864,0.173072
481901014,gc_victim_age_dist,0,231705,1572864,0.147314
482869249,gc_victim_age_dist,0,47260,1572864,0.030047
484442127,gc_victim_age_dist,0,261044,1572864,0.165967
486014978,gc_victim_age_dist,0,304994,1572864,0.193910
487587847,gc_victim_age_dist,0,269082,1572864,0.171078
489160714,gc_victim_age_dist,0,407314,1572864,0.258963
490733573,evict_victim_age_dist,0,355288,1572864,0.225886
492306436,evict_victim_age_dist,0,793512,1572864,0.504501
493879298,evict_victim_age_dist,0,847834,1572864,0.539038
495452167,evict_victim_age_dist,0,861996,1572864,0.548042
497025033,evict_victim_age_dist,0,708882,1572864,0.450695
498597894,evict_victim_age_dist,0,304400,1572864,0.193532
500170754,evict_victim_age_dist,0,660734,1572864,0.420083
501743632,evict_victim_age_dist,0,537197,1572864,0.341541
503316496,gc_victim_age_dist,0,168471,1572864,0.107111
504889346,gc_victim_age_dist,0,261181,1572864,0.166054
