timestamp,type,class,valid_blocks,total_blocks,valid_ratio
440401931,gc_victim_age_dist,0,37288,1572864,0.023707
440431146,gc_victim_age_dist,0,42811,1572864,0.027219
440466125,gc_victim_age_dist,0,59294,1572864,0.037698
440519982,gc_victim_age_dist,0,143974,1572864,0.091536
441974798,gc_victim_age_dist,0,179336,1572864,0.114019
443547652,gc_victim_age_dist,0,195776,1572864,0.124471
445120523,gc_victim_age_dist,0,196171,1572864,0.124722
446693388,gc_victim_age_dist,0,202176,1572864,0.128540
448266251,gc_victim_age_dist,0,207098,1572864,0.131669
449839109,gc_victim_age_dist,0,223354,1572864,0.142005
451411971,gc_victim_age_dist,0,232793,1572864,0.148006
452984836,gc_victim_age_dist,0,234842,1572864,0.149309
454557706,gc_victim_age_dist,0,249496,1572864,0.158625
456130576,gc_victim_age_dist,0,260696,1572864,0.165746
457703432,gc_victim_age_dist,0,272946,1572864,0.173534
459276290,gc_victim_age_dist,0,281302,1572864,0.178847
459484492,gc_victim_age_dist,0,284646,1572864,0.180973
459692689,gc_victim_age_dist,0,286948,1572864,0.182437
460849156,gc_victim_age_dist,0,291632,1572864,0.185415
462422031,gc_victim_age_dist,0,300296,1572864,0.190923
463994891,gc_victim_age_dist,0,304912,1572864,0.193858
465567749,gc_victim_age_dist,0,315596,1572864,0.200651
467140621,gc_victim_age_dist,0,327060,1572864,0.207939
468713486,gc_victim_age_dist,0,328508,1572864,0.208860
470286352,gc_victim_age_dist,0,329334,1572864,0.209385
471859206,gc_victim_age_dist,0,147288,1572864,0.093643
473432065,gc_victim_age_dist,0,323146,1572864,0.205451
475004943,gc_victim_age_dist,0,327183,1572864,0.208017
475303998,gc_victim_age_dist,0,339090,1572864,0.215588
475609033,gc_victim_age_dist,0,342713,1572864,0.217891
475915620,gc_victim_age_dist,0,344360,1572864,0.218938
476577801,gc_victim_age_dist,0,347166,1572864,0.220722
478150658,gc_victim_age_dist,0,85614,1572864,0.054432
479723533,gc_victim_age_dist,0,263344,1572864,0.167430
481296399,gc_victim_age_dist,0,349992,1572864,0.222519
482869263,gc_victim_age_dist,0,351156,1572864,0.223259
484442120,gc_victim_age_dist,0,261044,1572864,0.165967
486014978,gc_victim_age_dist,0,355295,1572864,0.225890
487587845,gc_victim_age_dist,0,269074,1572864,0.171073
489160709,gc_victim_age_dist,0,361426,1572864,0.229788
490733576,gc_victim_age_dist,0,362020,1572864,0.230166
492306440,gc_victim_age_dist,0,362528,1572864,0.230489
493879310,gc_victim_age_dist,0,364076,1572864,0.231473
494175653,gc_victim_age_dist,0,375513,1572864,0.238745
495452168,gc_victim_age_dist,0,383975,1572864,0.244125
497025031,gc_victim_age_dist,0,331724,1572864,0.210904
497321454,gc_victim_age_dist,0,399148,1572864,0.253771
498597898,gc_victim_age_dist,0,403093,1572864,0.256280
