timestamp,type,class,valid_blocks,total_blocks,valid_ratio
440155650,gc_victim_age_dist,1,967889,1572864,0.615367
441328665,gc_victim_age_dist,0,246708,1572864,0.156853
441507962,gc_victim_age_dist,0,264496,1572864,0.168162
441733306,gc_victim_age_dist,0,364584,1572864,0.231796
442078154,gc_victim_age_dist,0,320967,1572864,0.204065
444612122,gc_victim_age_dist,0,213656,1572864,0.135839
445709287,gc_victim_age_dist,0,344876,1572864,0.219266
446026668,gc_victim_age_dist,0,159367,1572864,0.101323
446139819,gc_victim_age_dist,0,339332,1572864,0.215741
447403389,gc_victim_age_dist,0,355272,1572864,0.225876
449124831,gc_victim_age_dist,0,336068,1572864,0.213666
450894534,gc_victim_age_dist,1,346844,1572864,0.220517
451830566,gc_victim_age_dist,0,178354,1572864,0.113394
454234336,gc_victim_age_dist,0,312276,1572864,0.198540
454520258,gc_victim_age_dist,0,292408,1572864,0.185908
454784588,gc_victim_age_dist,0,385967,1572864,0.245391
456792858,gc_victim_age_dist,0,429616,1572864,0.273142
458943578,gc_victim_age_dist,0,354176,1572864,0.225179
459278636,gc_victim_age_dist,0,421336,1572864,0.267878
460149052,gc_victim_age_dist,0,402056,1572864,0.255620
461704040,gc_victim_age_dist,0,242751,1572864,0.154337
463344022,gc_victim_age_dist,0,380546,1572864,0.241945
463690235,gc_victim_age_dist,0,249048,1572864,0.158340
465092582,gc_victim_age_dist,0,254588,1572864,0.161863
466246218,gc_victim_age_dist,0,127184,1572864,0.080861
467852838,gc_victim_age_dist,1,324403,1572864,0.206250
469862014,gc_victim_age_dist,0,341332,1572864,0.217013
470325233,gc_victim_age_dist,0,119428,1572864,0.075930
472381698,gc_victim_age_dist,0,195723,1572864,0.124437
474696463,gc_victim_age_dist,0,164208,1572864,0.104401
475075867,gc_victim_age_dist,0,159709,1572864,0.101540
475200477,gc_victim_age_dist,0,202912,1572864,0.129008
476716052,gc_victim_age_dist,0,184262,1572864,0.117151
479298903,gc_victim_age_dist,1,216192,1572864,0.137451
480665198,gc_victim_age_dist,1,331104,1572864,0.210510
481790346,gc_victim_age_dist,1,477952,1572864,0.303874
483487463,gc_victim_age_dist,1,310380,1572864,0.197334
485406723,gc_victim_age_dist,0,273232,1572864,0.173716
486518545,gc_victim_age_dist,1,225799,1572864,0.143559
488036327,gc_victim_age_dist,0,150308,1572864,0.095563
488145804,gc_victim_age_dist,0,222898,1572864,0.141715
489443451,gc_victim_age_dist,1,430852,1572864,0.273928
